,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
53,NGC 6021,['NGC 6021'],239d22m40.8s,15d57m21.6s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-01-02 00:00:00.000,0.015607,False,False,/home/nfranz/astro-otter/otterdb/.otter/NGC-6021.json
54,Sw J1644+57,"['SwJ1644+57', 'GRB 110328A', 'Sw J1644+57', 'Swift J1644+57', 'Swift J164449.3+573451']",251d12m28.9695s,57d34m59.6893s,"['2011Natur.476..425Z', '2012ApJ...748...36B', '2012MNRAS.421.1942W', '2013ApJ...767..152Z', '2016MNRAS.462L..66Y', '2018ApJ...854...86E', '2017ApJ...838..149A', '2016A&A...594A..13P', '2011Sci...333..203B', '2011ApJ...737..103S', '2017ApJ...835...64G', '2011Sci...333..199L', '2023PASP..135c4101G', '2021ApJ...908..125C']",2011-03-29 00:00:00.000,0.354,True,False,/home/nfranz/astro-otter/otterdb/.otter/Sw-J1644+57.json
55,2021utq,"['2021utq', 'Gaia21eqh', 'ZTF21abqtckk', 'ATLAS21bgtn', 'AT2021utq']",229d37m16.8132s,73d21m31.4136s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR2663....1M', '2021TNSCR3259....1B', ' 2023TNSCR2004....1Y']",59427.28253469907,0.127,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021utq.json
56,PGC 170392,['PGC 170392'],336d41m34.8s,-15d01m22.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-11-28 00:00:00.000,0.016246,False,False,/home/nfranz/astro-otter/otterdb/.otter/PGC-170392.json
57,RX J1624+75,['RX J1624+75'],246d14m10.5s,75d54m57.5s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '1999A&A...350L..31G', 'MAST', '2017ApJ...835...64G', '2023PASP..135c4101G']",1990-08-25 00:00:00.000,0.0636,True,False,/home/nfranz/astro-otter/otterdb/.otter/RX-J1624+75.json
58,PGC 015259,['PGC 015259'],67d20m27.6s,-4d45m36s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2010-02-08 00:00:00.000,0.014665,False,False,/home/nfranz/astro-otter/otterdb/.otter/PGC-015259.json
59,2020wey,"['2020wey', 'ZTF20acitpfz', 'ATLAS20belb', 'Gaia20fck', 'AT2020wey']",136d21m28.6488s,61d48m09.1368s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR3103....1N', '2020TNSCR3228....1A']",59130.49269,0.02741,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020wey.json
60,ASASSN-20jr,"['ASASSN-20jr', 'AT 2020ral']",229d19m25.2s,54d45m45.6s,['ASAS-SN Supernovae'],2020-08-10 05:45:36.000,,False,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-20jr.json
61,2023mfm,"['ZTF23aapyidj', 'PS23fqo', '2023mfm', 'AT2023mfm']",324d21m59.3676s,-4d20m43.0152s,"['2023TNSAN.250....1C', '2024MNRAS.527.2452M', '2023TNSTR1546....1F', '2023TNSCR2308....1C']",60123.399,0.087,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2023mfm.json
62,2019lwu,"['ZTF19abidbya', 'ATLAS19rnz', '2019lwu', 'PS19ega', 'AT2019lwu']",347d48m04.581036s,-1d00m10.8162072s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR1352....1F', '2020TNSCR2246....1D']",58688.41799768519,0.117,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019lwu.json
