mjd,mag,magerr,filter,wavelength
54566.17421,18.38,0.13,C,6178.184964660442
54566.18312,18.18,0.12,C,6178.184964660442
54587.13322,18.23,0.12,C,6178.184964660442
54587.13867,18.27,0.12,C,6178.184964660442
54587.14413,18.45,0.13,C,6178.184964660442
54587.14955,18.1,0.11,C,6178.184964660442
54627.18134,18.43,0.13,C,6178.184964660442
54627.18673,18.36,0.13,C,6178.184964660442
54627.19213,18.24,0.12,C,6178.184964660442
54627.19747,18.31,0.13,C,6178.184964660442
54641.17914,18.31,0.13,C,6178.184964660442
54641.18664,18.13,0.12,C,6178.184964660442
54641.19533,18.29,0.13,C,6178.184964660442
54641.20276,18.26,0.13,C,6178.184964660442
54641.21012,18.07,0.12,C,6178.184964660442
54806.44448,18.29,0.12,C,6178.184964660442
54806.44834,18.25,0.12,C,6178.184964660442
54806.45472,18.16,0.11,C,6178.184964660442
54806.4612,18.28,0.12,C,6178.184964660442
54806.46764,18.27,0.12,C,6178.184964660442
54860.38319,18.39,0.12,C,6178.184964660442
54860.38803,18.4,0.12,C,6178.184964660442
54860.39288,18.18,0.11,C,6178.184964660442
54860.39773,18.22,0.12,C,6178.184964660442
54866.36567,18.25,0.12,C,6178.184964660442
54866.37661,18.43,0.13,C,6178.184964660442
54866.3875,18.49,0.13,C,6178.184964660442
54866.3986,18.38,0.12,C,6178.184964660442
54884.29709,18.28,0.12,C,6178.184964660442
54884.30261,18.37,0.13,C,6178.184964660442
54884.30805,18.38,0.13,C,6178.184964660442
54884.31357,18.36,0.12,C,6178.184964660442
54892.32186,18.16,0.13,C,6178.184964660442
54892.32862,18.35,0.14,C,6178.184964660442
54892.33535,18.15,0.13,C,6178.184964660442
54892.34211,18.32,0.13,C,6178.184964660442
54909.27617,18.29,0.12,C,6178.184964660442
54909.28378,18.29,0.12,C,6178.184964660442
54909.29135,18.27,0.12,C,6178.184964660442
54909.29893,18.22,0.12,C,6178.184964660442
54918.18442,18.24,0.12,C,6178.184964660442
54918.18931,18.06,0.11,C,6178.184964660442
54918.19417,18.42,0.13,C,6178.184964660442
54918.19892,18.11,0.11,C,6178.184964660442
54924.21355,18.11,0.11,C,6178.184964660442
54924.2184,18.37,0.13,C,6178.184964660442
54924.22329,18.14,0.12,C,6178.184964660442
54924.22812,18.29,0.12,C,6178.184964660442
54951.31917,18.2,0.12,C,6178.184964660442
54951.32714,18.3,0.12,C,6178.184964660442
54951.33502,18.07,0.11,C,6178.184964660442
54951.34303,18.19,0.12,C,6178.184964660442
54977.20166,18.32,0.12,C,6178.184964660442
54977.20953,18.22,0.12,C,6178.184964660442
54977.21747,18.23,0.12,C,6178.184964660442
54977.22542,18.33,0.13,C,6178.184964660442
55004.18378,18.21,0.12,C,6178.184964660442
55004.19108,18.2,0.12,C,6178.184964660442
55004.1984,18.43,0.13,C,6178.184964660442
55004.20566,18.2,0.12,C,6178.184964660442
55143.49979,18.2,0.12,C,6178.184964660442
55143.50416,18.14,0.12,C,6178.184964660442
55143.50854,18.29,0.13,C,6178.184964660442
55143.5128,17.97,0.11,C,6178.184964660442
55184.47749,17.85,0.1,C,6178.184964660442
55184.48556,18.49,0.13,C,6178.184964660442
55184.49377,18.17,0.11,C,6178.184964660442
55211.43131,18.05,0.11,C,6178.184964660442
55211.43887,18.09,0.11,C,6178.184964660442
55211.44638,18.46,0.13,C,6178.184964660442
55211.45383,18.12,0.11,C,6178.184964660442
55244.3545,18.14,0.12,C,6178.184964660442
55244.36092,18.25,0.12,C,6178.184964660442
55244.36745,18.28,0.12,C,6178.184964660442
55244.37413,18.28,0.12,C,6178.184964660442
55259.4773,18.31,0.12,C,6178.184964660442
55259.48103,18.37,0.13,C,6178.184964660442
55259.48478,18.26,0.12,C,6178.184964660442
55259.48852,18.19,0.12,C,6178.184964660442
55259.49473,18.61,0.14,C,6178.184964660442
55267.5341066392,18.176838916175196,0.04137179211430316,r,6185.194476741525
55268.3768644583,17.83846264057385,0.008083502551899956,i,7499.704174464691
55268.3854621635,17.85660277163902,0.010875612861877324,i,7499.704174464691
55269.21289,18.18,0.11,C,6178.184964660442
55269.22066,18.29,0.11,C,6178.184964660442
55269.22843,18.32,0.11,C,6178.184964660442
55269.23625,18.29,0.11,C,6178.184964660442
55276.2504,18.17,0.12,C,6178.184964660442
55276.25917,18.26,0.12,C,6178.184964660442
55276.26797,18.25,0.12,C,6178.184964660442
55276.27684,18.08,0.11,C,6178.184964660442
55302.1748,18.63,0.18,C,6178.184964660442
55302.18163,18.2,0.14,C,6178.184964660442
55302.18851,18.4,0.15,C,6178.184964660442
55302.19548,18.49,0.16,C,6178.184964660442
55327.28761,18.32,0.13,C,6178.184964660442
55327.29472,18.14,0.12,C,6178.184964660442
55327.302,18.2,0.12,C,6178.184964660442
55327.30969,18.08,0.12,C,6178.184964660442
55331.3053656961,17.77703408038368,0.012333244873755594,z,8961.488333992429
55331.3176306839,17.816526750203217,0.024447542390414086,z,8961.488333992429
55331.3191579866,17.806257523326288,0.06363844802764194,z,8961.488333992429
55341.26731,18.12,0.12,C,6178.184964660442
55341.27423,18.33,0.13,C,6178.184964660442
55341.28003,18.31,0.13,C,6178.184964660442
55341.28585,17.75,0.1,C,6178.184964660442
55343.585278,17.302999999999997,0.072,W1,34002.551861150176
55343.585278,17.326999999999998,0.136,W2,46520.081762929745
55343.7175819,17.217,0.079,W1,34002.551861150176
55343.7175819,17.458,0.151,W2,46520.081762929745
